Link,Title Screening (Passed or not),Comment on Title Screening (Always needed if excluded),Abstract Screening (Passed or not),Comment on Abstract Screening,Year,KEYWORDS: Topics (Focus Area),CLEAN KEYWORDS: Topics (Focus Area),KEYWORDS: Types of research,CLEAN KEYWORDS: Types of research,KEYWORDS: Type of Organization (Determined by association of main researcher)
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11157690/,Included,,Included,,2025,"Fire Detection, Edge centric",Edgecentric ,"Solution Proposal, Evaluation Research","Solution Proposal, Validation Research",University
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11026879/,Included,,Excluded,Nothing to do with cloud deployment (or edge),,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10967934/,Included,,Included,,2025,Autonomous navigation,Transportation,Evaluation research,Evaluation Research,University
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11065204/,Included,Fault Detection might be industry application?,Included,,2025,"Fault Detection in Cloud Computing, Autonomous Self-Healing",Cloud Reliability and Resilience,"Solution Proposal, Evaluation Research","Solution Proposal, Validation Research",University
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10771985/,Included,,Included,,2024,"Advanced driver assistance systems (ADASs), cloud-edge collaborative ADAS",Transportation,"Solution Proposal, Evaluation Research","Solution Proposal, Validation Research",University
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10743009/,Excluded,No mention of LLM,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11060574/,Included,,Excluded,"No explicit industry application, only general 6G",,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11030757/,Included,,Included,,2025,Large Models as a Service in Industrial IoT,Industrial IoT (IIoT),Survey Research,Survey Research,University
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11120573/,Excluded,Theoretical,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10708357/,Excluded,"Doesn't investigate LLMs in the cloud, only an application of LLMs",,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10705427/,Excluded,"Doesn't investigate LLMs in the cloud, only an application of LLMs",,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11027609/,Included,,Included,,2025,"Agricultural Internet of Things (IoT), Edgecentric multimodal agricultural IoT data analytics framework","Industrial IoT (IIoT),  Edgecentric ","Solution Proposal, Evaluation Research","Solution Proposal, Validation Research",University
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10304218/,Excluded,No focus on application,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10569285/,Included,,Excluded,No mention of any industry applications,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11029052/,Excluded,No LLM,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10835069/,Included,,Excluded,No direct industry application,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10835694/,Included,,Excluded,Not an industry application,,,,,,
